date,code,close,peTTM,pbMRQ,psTTM,pcfNcfTTM,turn,tradestatus,isST
2020-04-14,sh.601991,2.06,35.769947,0.910309,0.399399,-11.157989,0.0433,1,0
2020-04-15,sh.601991,2.09,36.290868,0.923566,0.405215,-11.320484,0.1053,1,0
2020-04-16,sh.601991,2.25,39.069116,0.99427,0.436236,-12.187124,0.6305,1,0
2020-04-17,sh.601991,2.15,37.332711,0.95008,0.416848,-11.645474,0.3588,1,0
2020-04-20,sh.601991,2.14,37.159071,0.945661,0.414909,-11.591309,0.1404,1,0
2020-04-21,sh.601991,2.12,36.81179,0.936823,0.411032,-11.482979,0.1113,1,0
2020-04-22,sh.601991,2.13,36.98543,0.941242,0.41297,-11.537144,0.1019,1,0
2020-04-23,sh.601991,2.12,36.81179,0.936823,0.411032,-11.482979,0.0912,1,0
2020-04-24,sh.601991,2.09,36.290868,0.923566,0.405215,-11.320484,0.0827,1,0
2020-04-27,sh.601991,2.12,36.81179,0.936823,0.411032,-11.482979,0.0708,1,0
2020-04-28,sh.601991,2.07,35.943587,0.914728,0.401338,-11.212154,0.1041,1,0
2020-04-29,sh.601991,2.08,36.117228,0.919147,0.403276,-11.266319,0.0553,1,0
2020-04-30,sh.601991,2.14,29.511556,0.935414,0.417223,24.931735,0.1564,1,0
2020-05-06,sh.601991,2.14,29.511556,0.935414,0.417223,24.931735,0.099,1,0
2020-05-07,sh.601991,2.13,29.373651,0.931043,0.415273,24.815232,0.0755,1,0
2020-05-08,sh.601991,2.15,29.64946,0.939785,0.419172,25.048239,0.0763,1,0
2020-05-11,sh.601991,2.14,29.511556,0.935414,0.417223,24.931735,0.0795,1,0
2020-05-12,sh.601991,2.13,29.373651,0.931043,0.415273,24.815232,0.0587,1,0
2020-05-13,sh.601991,2.12,29.235747,0.926672,0.413323,24.698728,0.0699,1,0
2020-05-14,sh.601991,2.1,28.959938,0.91793,0.409424,24.465721,0.0474,1,0
2020-05-15,sh.601991,2.12,29.235747,0.926672,0.413323,24.698728,0.0535,1,0
2020-05-18,sh.601991,2.11,29.097843,0.922301,0.411374,24.582225,0.0576,1,0
2020-05-19,sh.601991,2.09,28.822034,0.913558,0.407474,24.349218,0.0728,1,0
2020-05-20,sh.601991,2.09,28.822034,0.913558,0.407474,24.349218,0.0557,1,0
2020-05-21,sh.601991,2.09,28.822034,0.913558,0.407474,24.349218,0.0537,1,0
2020-05-22,sh.601991,2.07,28.546225,0.904816,0.403575,24.116211,0.068,1,0
2020-05-25,sh.601991,2.09,28.822034,0.913558,0.407474,24.349218,0.0711,1,0
2020-05-26,sh.601991,2.09,28.822034,0.913558,0.407474,24.349218,0.0631,1,0
2020-05-27,sh.601991,2.08,28.684129,0.909187,0.405525,24.232715,0.0554,1,0
2020-05-28,sh.601991,2.08,28.684129,0.909187,0.405525,24.232715,0.0697,1,0
2020-05-29,sh.601991,2.08,28.684129,0.909187,0.405525,24.232715,0.0685,1,0
2020-06-01,sh.601991,2.12,29.235747,0.926672,0.413323,24.698728,0.103,1,0
2020-06-02,sh.601991,2.13,29.373651,0.931043,0.415273,24.815232,0.1121,1,0
2020-06-03,sh.601991,2.13,29.373651,0.931043,0.415273,24.815232,0.0767,1,0
2020-06-04,sh.601991,2.12,29.235747,0.926672,0.413323,24.698728,0.08,1,0
2020-06-05,sh.601991,2.13,29.373651,0.931043,0.415273,24.815232,0.0608,1,0
2020-06-08,sh.601991,2.14,29.511556,0.935414,0.417223,24.931735,0.0687,1,0
2020-06-09,sh.601991,2.14,29.511556,0.935414,0.417223,24.931735,0.0708,1,0
2020-06-10,sh.601991,2.12,29.235747,0.926672,0.413323,24.698728,0.0561,1,0
2020-06-11,sh.601991,2.11,29.097843,0.922301,0.411374,24.582225,0.0555,1,0
2020-06-12,sh.601991,2.1,28.959938,0.91793,0.409424,24.465721,0.0799,1,0
2020-06-15,sh.601991,2.11,29.097843,0.922301,0.411374,24.582225,0.0485,1,0
2020-06-16,sh.601991,2.13,29.373651,0.931043,0.415273,24.815232,0.062,1,0
2020-06-17,sh.601991,2.11,29.097843,0.922301,0.411374,24.582225,0.0533,1,0
2020-06-18,sh.601991,2.16,29.787365,0.944156,0.421122,25.164742,0.1395,1,0
2020-06-19,sh.601991,2.14,29.511556,0.935414,0.417223,24.931735,0.1272,1,0
2020-06-22,sh.601991,2.14,29.511556,0.935414,0.417223,24.931735,0.0955,1,0
2020-06-23,sh.601991,2.12,29.235747,0.926672,0.413323,24.698728,0.0643,1,0
2020-06-24,sh.601991,2.12,29.235747,0.926672,0.413323,24.698728,0.0322,1,0
2020-06-29,sh.601991,2.1,28.959938,0.91793,0.409424,24.465721,0.063,1,0
2020-06-30,sh.601991,2.11,29.097843,0.922301,0.411374,24.582225,0.0376,1,0
2020-07-01,sh.601991,2.13,29.373651,0.931043,0.415273,24.815232,0.0692,1,0
2020-07-02,sh.601991,2.17,29.925269,0.948527,0.423072,25.281245,0.1578,1,0
2020-07-03,sh.601991,2.21,30.476887,0.966012,0.43087,25.747259,0.2366,1,0
2020-07-06,sh.601991,2.36,32.545454,1.031578,0.460115,27.494811,0.4263,1,0
2020-07-07,sh.601991,2.33,32.131741,1.018465,0.454266,27.1453,0.4648,1,0
2020-07-08,sh.601991,2.42,33.372881,1.057804,0.471813,28.193831,0.4762,1,0
2020-07-09,sh.601991,2.47,34.062403,1.07966,0.481561,28.776349,0.5514,1,0
2020-07-10,sh.601991,2.4,33.097072,1.049062,0.467913,27.960824,0.3071,1,0
2020-07-13,sh.601991,2.44,33.64869,1.066547,0.475712,28.426838,0.4258,1,0
2020-07-14,sh.601991,2.4,33.097072,1.049062,0.467913,27.960824,0.3098,1,0
2020-07-15,sh.601991,2.34,32.269645,1.022836,0.456215,27.261804,0.224,1,0
2020-07-16,sh.601991,2.28,31.442218,0.996609,0.444518,26.562783,0.2558,1,0
2020-07-17,sh.601991,2.26,31.16641,0.987867,0.440618,26.329776,0.214,1,0
2020-07-20,sh.601991,2.36,32.545454,1.031578,0.460115,27.494811,0.2228,1,0
2020-07-21,sh.601991,2.35,32.40755,1.027207,0.458165,27.378307,0.1831,1,0
2020-07-22,sh.601991,2.36,32.545454,1.031578,0.460115,27.494811,0.1571,1,0
2020-07-23,sh.601991,2.45,33.786594,1.070918,0.477661,28.543342,0.7219,1,0
2020-07-24,sh.601991,2.37,32.683359,1.035949,0.462064,27.611314,0.356,1,0
2020-07-27,sh.601991,2.34,32.269645,1.022836,0.456215,27.261804,0.1747,1,0
2020-07-28,sh.601991,2.33,32.131741,1.018465,0.454266,27.1453,0.1418,1,0
2020-07-29,sh.601991,2.35,32.40755,1.027207,0.458165,27.378307,0.1263,1,0
2020-07-30,sh.601991,2.37,32.683359,1.035949,0.462064,27.611314,0.1499,1,0
2020-07-31,sh.601991,2.39,32.959168,1.044691,0.465964,27.844321,0.2176,1,0
2020-08-03,sh.601991,2.45,33.786594,1.070918,0.477661,28.543342,0.3072,1,0
2020-08-04,sh.601991,2.43,33.510785,1.062176,0.473762,28.310335,0.2258,1,0
2020-08-05,sh.601991,2.42,33.372881,1.057804,0.471813,28.193831,0.1452,1,0
2020-08-06,sh.601991,2.41,33.234977,1.053433,0.469863,28.077328,0.1325,1,0
2020-08-07,sh.601991,2.4,33.097072,1.049062,0.467913,27.960824,0.1317,1,0
2020-08-10,sh.601991,2.45,33.786594,1.070918,0.477661,28.543342,0.2379,1,0
2020-08-11,sh.601991,2.4,33.097072,1.049062,0.467913,27.960824,0.3122,1,0
2020-08-12,sh.601991,2.43,33.510785,1.062176,0.473762,28.310335,0.1684,1,0
2020-08-13,sh.601991,2.46,33.924499,1.075289,0.479611,28.659845,0.1609,1,0
2020-08-14,sh.601991,2.45,33.786594,1.070918,0.477661,28.543342,0.1352,1,0
2020-08-17,sh.601991,2.48,34.200308,1.084031,0.48351,28.892852,0.1828,1,0
2020-08-18,sh.601991,2.49,34.338212,1.088402,0.48546,29.009355,0.1844,1,0
2020-08-19,sh.601991,2.74,37.785824,1.197679,0.534201,31.921941,1.4664,1,0
2020-08-20,sh.601991,2.63,36.268875,1.149597,0.512755,30.640403,1.1291,1,0
2020-08-21,sh.601991,2.6,35.855161,1.136484,0.506906,30.290893,0.5087,1,0
2020-08-24,sh.601991,2.59,35.717257,1.132113,0.504956,30.17439,0.3711,1,0
2020-08-25,sh.601991,2.56,35.303544,1.119,0.499107,29.824879,0.2742,1,0
2020-08-26,sh.601991,2.53,34.88983,1.105887,0.493259,29.475369,0.2213,1,0
2020-08-27,sh.601991,2.57,35.441448,1.123371,0.501057,29.941383,0.1761,1,0
2020-08-28,sh.601991,2.51,34.614021,1.097144,0.489359,29.242362,0.1947,1,0
2020-08-31,sh.601991,2.46,22.953296,1.087491,0.479778,28.435353,0.251,1,0
2020-09-01,sh.601991,2.44,22.766684,1.07865,0.475878,28.204172,0.2004,1,0
2020-09-02,sh.601991,2.45,22.85999,1.083071,0.477828,28.319763,0.1424,1,0
2020-09-03,sh.601991,2.44,22.766684,1.07865,0.475878,28.204172,0.1509,1,0
2020-09-04,sh.601991,2.42,22.580071,1.069808,0.471977,27.97299,0.1058,1,0
